x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
640,480,233,0.136044,261.001,0.592,0.14,2498.3
760,400,234,0.105156,160.165,0.48,0.068,382.742
760,520,235,0.115311,221.632,0.564,0.076,1293.75
840,480,236,0.0983149,137.384,0.444,0.052,289.701
560,200,237,0.107715,189.094,0.48,0.056,299.764
40,720,238,0.135569,265.166,0.564,0.148,1498.36
640,840,239,0.128012,242.994,0.568,0.104,1119.24
560,440,240,0.147555,276.576,0.636,0.176,2520.62
920,80,241,0.0575132,53.5092,0.188,0.068,124.87
680,240,242,0.101542,148.287,0.488,0.052,337.721
40,680,243,0.137302,295.736,0.596,0.136,1454.18
440,760,244,0.158949,336.66,0.64,0.236,2023.37
400,880,245,0.141904,275.337,0.612,0.164,1420.98
680,520,246,0.13488,258.831,0.636,0.132,1691.82
680,160,247,0.0871163,125.67,0.468,0.072,188.202
400,760,248,0.162944,354.485,0.728,0.228,2676.09
240,720,249,0.164319,358.986,0.736,0.236,2090.3
600,160,250,0.0970954,146.589,0.52,0.06,327.448
720,920,251,0.102111,151.647,0.496,0.056,584.293
480,640,252,0.162627,349.223,0.664,0.24,2719.82
440,240,253,0.127453,206.041,0.548,0.096,1784.06
960,680,254,0.0731287,79.9307,0.356,0.024,157.829
