x,y,z,name,phi,kx,facies,ntg,prod
360,120,432.0,0,0.151282,222.819,3.0,1,0.119789561062
360,120,438.0,0,0.178761,221,3.0,1,0.141548140843
360,120,444.0,0,0.162064,213.009,3.0,1,0.128326707605
360,120,450.0,0,0.154912,223.67,3.0,1,0.122663771076
360,120,456.0,0,0.145969,216.326,3.0,1,0.115582324091
360,120,462.0,0,0.153124,230.916,3.0,1,0.121248144227
360,120,468.0,0,0.163116,230.916,3.0,1,0.129159837955
360,120,474.0,0,0.153015,230.916,3.0,1,0.121161902271
360,120,480.0,0,0.155989,281.71,3.0,1,0.123516776639
360,120,486.0,0,0.148779,230.916,3.0,1,0.117807790378
360,120,492.0,0,0.156698,216.155,3.0,1,0.124078144076
360,120,498.0,0,0.163541,230.916,3.0,1,0.129496663573
360,120,504.0,0,0.16384,230.916,3.0,1,0.129733261026
360,120,510.0,0,0.161086,230.916,3.0,1,0.127552484574
360,120,516.0,0,0.155574,208.135,3.0,1,0.123188140855
360,120,522.0,0,0.160325,230.916,3.0,1,0.126950013252
360,120,528.0,0,0.155402,230.916,3.0,1,0.123051615379
360,120,534.0,0,0.151978,230.916,3.0,1,0.120340276833
360,120,540.0,0,0.152282,230.916,3.0,1,0.120581116349
360,120,546.0,0,0.158764,230.916,3.0,1,0.125713977726
360,120,552.0,0,0.165751,230.916,3.0,1,0.131246752711
360,120,558.0,0,0.162566,230.916,3.0,1,0.128724679631
360,120,564.0,0,0.160405,230.916,3.0,1,0.12701300259
360,120,570.0,0,0.174939,230.916,3.0,1,0.138521695579
360,120,576.0,0,0.203701,299.079,3.0,1,0.16129641919
360,120,582.0,0,0.170969,312.774,3.0,1,0.135378051314
360,120,588.0,0,0.172012,293.503,3.0,1,0.136204261274
360,120,594.0,0,0.165829,294.034,3.0,1,0.13130855283
360,120,600.0,0,0.159518,310.65,3.0,1,0.126310728742
360,120,606.0,0,0.160699,307.106,3.0,1,0.127246256992
360,120,612.0,0,0.177461,302.08,3.0,1,0.140518527845
360,120,618.0,0,0.130157,299.985,3.0,1,0.103061707544
360,120,624.0,0,0.126356,308.855,3.0,1,0.100052546686
360,120,630.0,0,0.163105,309.236,3.0,1,0.1291515943
360,120,636.0,0,0.183257,296.492,3.0,1,0.14510846925
360,120,642.0,0,0.180949,359.571,3.0,1,0.143280298802
360,120,648.0,0,0.185844,378.79,3.0,1,0.147156292746
360,120,654.0,0,0.183757,370.136,3.0,1,0.145504069556
360,120,660.0,0,0.184886,381.111,3.0,1,0.146397783121
360,120,666.0,0,0.183734,389.884,3.0,1,0.145486147598
360,120,672.0,0,0.180949,395.207,3.0,1,0.143280298802
360,120,678.0,0,0.185644,395.207,3.0,1,0.14699841072
360,120,684.0,0,0.184533,373.621,3.0,1,0.146118642416
360,120,690.0,0,0.185653,363.812,3.0,1,0.147005708609
360,120,696.0,0,0.170915,375.518,3.0,1,0.135335831632
360,120,702.0,0,0.180949,386.567,3.0,1,0.143280298802
360,120,708.0,0,0.205127,371.644,3.0,1,0.162425527655
360,120,714.0,0,0.204712,372.945,3.0,1,0.162096525155
360,120,720.0,0,0.206687,378.884,3.0,1,0.16366098674
360,120,726.0,0,0.210543,386.261,3.0,1,0.166714337646
360,120,732.0,0,0.180949,326.668,3.0,1,0.143280298802
360,120,738.0,0,0.153883,271.212,3.0,1,0.121848613165
