x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
520,240,110,0.117812,191.043,0.544,0.14,2184.98
40,600,111,0.134197,229.982,0.608,0.136,1712.06
760,200,112,0.0857301,105.223,0.46,0.104,243.807
960,960,113,0.0548115,48.8563,0.256,0.08,50.8175
280,880,114,0.143088,268.073,0.612,0.188,1753.05
400,680,115,0.168679,360.157,0.656,0.236,2633.29
360,200,116,0.119716,202.456,0.584,0.124,1831.62
120,760,117,0.147015,302.807,0.592,0.16,1826.46
880,480,118,0.0919712,123.325,0.528,0.092,200.791
200,760,119,0.155076,343.385,0.676,0.256,1768.65
480,760,120,0.161112,307.166,0.676,0.228,2647.25
920,240,121,0.0615457,63.1919,0.328,0.124,81.4068
40,280,122,0.109178,160.862,0.508,0.116,1076.29
760,800,123,0.108737,166.805,0.524,0.144,745.374
840,880,124,0.0848984,115.283,0.436,0.104,260.012
320,40,125,0.0858676,135.575,0.46,0.108,804.265
480,320,126,0.137298,248.138,0.56,0.172,2764.74
200,440,127,0.154177,333.996,0.716,0.22,2942.02
80,520,128,0.145055,287.309,0.588,0.176,2102.16
760,760,129,0.112886,182.238,0.576,0.108,884.253
600,440,130,0.14016,255.244,0.592,0.164,2148.28
840,520,131,0.101912,155.225,0.512,0.132,369.213
960,520,132,0.0748532,109.102,0.416,0.084,209.91
800,520,133,0.106989,160.472,0.516,0.104,411.659
600,520,134,0.147943,319.925,0.616,0.224,2837.46
840,440,135,0.0949274,141.487,0.476,0.108,335.293
200,40,136,0.0825951,99.0903,0.476,0.12,629.712
800,80,137,0.057671,61.0616,0.268,0.104,77.6662
720,360,138,0.11213,186.561,0.472,0.12,420.343
400,200,139,0.1144,188.385,0.492,0.12,1705.73
120,320,140,0.128897,227.812,0.564,0.148,1701.99
480,680,141,0.163593,326.643,0.684,0.236,2556.54
120,520,142,0.154496,258.631,0.624,0.188,2149.29
680,480,143,0.135902,239.014,0.592,0.168,2321.91
120,80,144,0.0830441,118.291,0.412,0.068,836.768
880,160,145,0.0570065,61.2231,0.272,0.06,120.506
680,920,146,0.106545,169.19,0.512,0.088,663.027
960,160,147,0.0533046,41.9648,0.24,0.096,86.0899
920,920,148,0.0651028,73.1172,0.332,0.128,107.197
840,240,149,0.0741322,77.7596,0.404,0.1,218.551
